timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273706.37,516,597,523,604,523,479
1564273707.37,516,597,523,604,523,479
1564273708.38,516,597,523,604,523,479
1564273709.38,517,597,523,603,523,479
1564273710.38,517,597,523,603,523,479
1564273711.38,516,597,523,603,523,479
1564273712.38,516,597,523,604,523,479
1564273713.39,516,597,523,603,523,479
1564273714.39,516,597,523,603,523,479
1564273715.39,516,597,523,603,523,479
1564273716.39,516,597,524,604,523,479
1564273717.39,516,597,523,604,523,479
1564273718.39,516,597,523,604,523,479
1564273719.4,516,597,524,603,523,479
1564273720.4,516,597,523,604,523,479
1564273721.4,516,597,523,604,523,478
1564273722.4,516,597,523,604,523,478
1564273723.4,516,597,523,603,523,479
1564273724.41,516,597,522,604,523,478
1564273725.41,516,597,522,603,523,479
1564273726.41,516,597,522,604,523,478
1564273727.41,516,597,522,604,523,478
1564273728.42,516,597,522,604,523,479
1564273729.42,516,597,522,604,523,479
1564273730.42,516,597,522,604,523,479
1564273731.42,516,597,523,603,523,479
1564273732.42,516,597,523,604,523,479
1564273733.43,516,597,523,604,523,479
1564273734.43,516,597,523,604,523,479
1564273735.43,516,597,523,604,523,479
1564273736.43,516,597,523,603,523,479
1564273737.43,516,597,523,604,523,479
1564273738.43,516,597,523,604,523,479
1564273739.44,516,597,524,604,523,479
1564273740.44,516,597,525,604,523,479
1564273741.44,516,597,525,604,523,479
1564273742.44,516,597,525,603,523,479
1564273743.44,516,597,525,604,524,479
1564273744.45,516,597,525,603,523,479
1564273745.45,516,597,525,604,523,479
1564273746.45,516,597,525,604,523,479
1564273747.45,516,597,525,604,523,479
1564273748.45,516,597,524,604,523,479
1564273749.46,516,597,524,604,523,479
1564273750.46,516,597,523,604,523,479
1564273751.46,516,597,523,604,523,479
1564273752.46,516,597,522,604,523,478
1564273753.47,516,597,522,604,523,479
1564273754.47,516,597,521,603,523,478
1564273755.47,516,597,521,604,523,479
1564273756.47,516,597,521,604,523,479
1564273757.47,516,597,520,604,523,479
1564273758.47,516,597,521,604,523,479
1564273759.48,516,597,521,604,523,479
1564273760.48,516,597,521,603,523,479
1564273761.48,516,597,521,604,523,478
1564273762.48,516,597,520,604,523,478
1564273763.48,516,597,521,603,523,478
1564273764.49,516,597,520,603,523,478
1564273765.49,516,597,520,603,523,478
1564273766.49,516,597,520,604,522,478
1564273767.49,516,596,520,603,523,478
1564273768.49,516,597,519,603,522,478
1564273769.5,516,597,519,604,522,478
1564273770.5,516,597,519,604,523,478
1564273771.5,516,597,519,604,523,478
1564273772.5,516,597,519,604,523,478
1564273773.51,516,596,519,604,522,478
1564273774.51,516,597,520,604,522,478
1564273775.51,516,596,520,603,522,478
1564273776.51,516,597,520,604,523,478
1564273777.51,516,597,520,603,522,478
1564273778.51,516,597,520,604,522,478
1564273779.52,515,597,521,604,522,478
1564273780.52,516,597,521,604,523,478
1564273781.52,516,597,521,604,522,478
1564273782.52,516,597,521,604,523,478
1564273783.52,516,597,522,603,522,478
1564273784.53,516,597,521,603,522,477
1564273785.53,516,597,521,603,522,478
1564273786.53,516,597,521,603,522,478
1564273787.53,516,597,522,604,522,478
1564273788.53,516,597,523,604,522,478
1564273789.54,516,597,523,603,522,478
1564273790.54,516,597,523,604,522,478
1564273791.54,516,597,523,604,522,478
1564273792.54,516,597,523,604,522,478
1564273793.55,516,597,523,603,522,478
1564273794.55,516,597,523,604,522,478
1564273795.55,515,597,523,603,522,478
1564273796.55,516,597,523,603,522,477
1564273797.55,516,597,523,603,522,478
1564273798.55,516,597,523,603,522,478
1564273799.55,516,597,524,603,522,478
1564273800.56,516,597,524,603,522,478
1564273801.56,516,597,524,603,522,478
1564273802.56,516,597,524,603,522,478
1564273803.56,516,597,524,604,522,478
1564273804.57,516,597,524,604,522,478
1564273805.57,516,596,524,604,522,478
1564273806.57,515,596,524,604,522,478
1564273807.57,516,596,523,603,522,478
1564273808.57,516,597,523,603,522,478
1564273809.58,516,596,523,603,522,478
1564273810.99,516,597,523,604,522,477
1564273811.99,516,596,523,603,522,477
1564273812.99,516,596,524,603,522,478
1564273813.99,515,596,524,603,522,478
1564273814.99,516,596,524,603,522,478
1564273816.0,516,596,524,603,522,478
1564273817.0,516,597,524,603,522,478
1564273818.0,516,597,524,603,522,478
1564273819.0,516,597,524,603,522,478
1564273820.0,516,597,524,603,522,478
1564273821.01,516,596,524,603,522,477
1564273822.01,516,596,524,603,522,478
1564273823.01,516,596,524,605,522,477
1564273824.01,516,596,524,603,522,477
1564273825.02,516,595,524,602,522,477
1564273826.02,516,596,525,601,521,478
1564273827.02,516,596,524,602,522,477
1564273828.02,516,599,523,602,521,478
1564273829.02,515,596,524,601,522,478
1564273830.03,510,596,524,607,521,477
1564273831.03,515,596,525,602,522,477
1564273832.03,516,596,525,603,522,477
1564273833.03,516,597,525,602,522,477
1564273834.03,515,598,526,602,522,479
1564273835.04,515,596,526,603,522,478
1564273836.04,516,596,526,600,522,477
1564273837.04,516,598,525,604,522,477
1564273838.04,516,595,525,601,522,478
1564273839.04,510,597,524,603,522,477
1564273840.04,516,596,523,602,522,477
1564273841.05,516,600,522,603,522,478
1564273842.05,515,598,522,601,522,477
1564273843.05,519,597,521,602,522,477
1564273844.05,516,596,521,603,522,477
1564273845.06,516,597,521,603,522,477
1564273846.06,516,596,518,603,521,477
1564273847.06,516,596,520,602,521,477
1564273848.06,515,600,519,605,521,477
1564273849.06,516,596,519,601,521,477
1564273850.07,515,597,518,601,522,477
1564273851.07,516,593,518,602,521,477
1564273852.07,516,596,518,603,521,477
1564273853.07,516,595,517,603,522,477
1564273854.07,516,597,518,602,521,477
1564273855.08,516,599,517,602,522,477
1564273856.08,516,596,518,601,522,477
1564273857.08,516,595,518,602,522,478
1564273858.08,515,597,518,602,522,478
1564273859.08,519,596,518,601,522,477
1564273860.08,516,597,518,602,522,478
1564273861.09,516,597,518,603,521,478
1564273862.09,515,597,518,603,522,478
1564273863.09,516,596,518,602,522,478
1564273864.09,515,596,518,605,522,478
1564273865.09,516,596,518,601,521,478
1564273866.1,517,594,518,603,523,477
1564273867.1,516,596,519,602,522,478
1564273868.1,515,597,519,603,522,477
1564273869.1,515,597,520,602,522,478
1564273870.11,516,597,520,603,522,476
